Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Elapsed_Time
grid80x80.f10_direct.wcnf,6400,31636,25673911,23142788,2531123,60.0594
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,34295561,4628465,60.0531
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,12203945,1148547,60.0575
grid80x80.f5_direct.wcnf,6400,31602,13273024,12286300,986724,60.0469
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,5235194,514152,28.0973
grid80x80.f15_direct.wcnf,6400,31642,38199439,33893595,4305844,60.0354
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,23179930,2906952,60.0331
grid80x80.f2_direct.wcnf,6400,31592,5686408,5174984,511424,29.2002
