Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Elapsed_Time
grid80x80.f10_direct.wcnf,6400,31636,25673911,24116039,1557872,300.047
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,36624700,2299326,300.04
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,12400352,952140,300.04
grid80x80.f5_direct.wcnf,6400,31602,13273024,12354779,918245,300.04
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,5235097,514249,32.8934
grid80x80.f15_direct.wcnf,6400,31642,38199439,35996947,2202492,300.038
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,24437400,1649482,300.038
grid80x80.f2_direct.wcnf,6400,31592,5686408,5174917,511491,31.9895
