Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Elapsed_Time,Linear_Relaxation_Objective
grid80x80.f10_direct.wcnf,6400,31636,25673911,21924380,3749531,1.03642,317669
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,33318291,5605735,1.03748,316172
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,11254673,2097819,1.03284,315330
grid80x80.f5_direct.wcnf,6400,31602,13273024,11201094,2071930,1.03367,312750
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,4734706,1014640,1.03588,318882
grid80x80.f15_direct.wcnf,6400,31642,38199439,33052973,5146466,1.0343,317669
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,22199472,3887410,1.03508,315367
grid80x80.f2_direct.wcnf,6400,31592,5686408,4720865,965543,1.03392,318124
