Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Elapsed_Time,Linear_Relaxation_Objective
grid80x80.f10_direct.wcnf,6400,31636,25673911,24118558,1555353,2307.79,1.27987e+07
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,36649418,2274608,3600.04,1.93773e+07
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,12402067,950425,1059.82,6.68388e+06
grid80x80.f5_direct.wcnf,6400,31602,13273024,12355248,917776,640.11,6.67966e+06
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,5235194,514152,28.1835,2.86828e+06
grid80x80.f15_direct.wcnf,6400,31642,38199439,36007952,2191487,3600.04,1.90424e+07
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,24452590,1634292,3600.04,1.30588e+07
grid80x80.f2_direct.wcnf,6400,31592,5686408,5174984,511424,29.2759,2.85699e+06
