Filename,Num_Variables,Num_Clauses,Total_Weight,Best_Satisfied_Weight,Best_Violated_Weight,Iterations,Elapsed_Time
grid40x40.f10_direct.wcnf,1600,7826,6365301,5621268,744033,588,10.0151
grid40x40.f5_direct.wcnf,1600,7826,3260679,2859597,401082,596,10.0106
grid80x80.f10_direct.wcnf,6400,31636,25673911,22460226,3213685,115,10.0384
grid20x20.f15.wrap_direct.wcnf,400,1996,2323759,2074544,249215,3032,10.0018
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,34146511,4777515,109,10.0142
grid40x40.f10.wrap_direct.wcnf,1600,7989,6636645,5840130,796515,581,10.0051
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,11570573,1781919,109,10.0556
grid80x80.f5_direct.wcnf,6400,31602,13273024,11498008,1775016,110,10.018
grid20x20.f10_direct.wcnf,400,1916,1526265,1365095,161170,3191,10.0021
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,4894067,855279,113,10.0726
grid80x80.f15_direct.wcnf,6400,31642,38199439,33473754,4725685,112,10.0859
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,22789395,3297487,113,10.07
grid40x40.f2.wrap_direct.wcnf,1600,7975,1437685,1231018,206667,605,10.0046
grid80x80.f2_direct.wcnf,6400,31592,5686408,4847740,838668,114,10.0208
grid20x20.f10.wrap_direct.wcnf,400,1996,1561549,1390452,171097,2994,10.0034
grid40x40.f15_direct.wcnf,1600,7828,9469905,8387679,1082226,580,10.0128
grid20x20.f5.wrap_direct.wcnf,400,1996,799311,708013,91298,3010,10.001
grid40x40.f5.wrap_direct.wcnf,1600,7985,3366801,2928440,438361,593,10.0084
grid40x40.f15.wrap_direct.wcnf,1600,7989,9878665,8702440,1176225,585,10.0138
grid40x40.f2_direct.wcnf,1600,7812,1397857,1200565,197292,601,10.0094
