Problem,Time,Cost
test_wcnf_files_20000_100000/test16.wcnf,1200,555557
test_wcnf_files_20000_100000/test14.wcnf,1200,551783
test_wcnf_files_20000_100000/test0.wcnf,1200,1161690
test_wcnf_files_20000_100000/test17.wcnf,1200,554845
test_wcnf_files_20000_100000/test15.wcnf,1200,549867
test_wcnf_files_20000_100000/test10.wcnf,1200,1176084
test_wcnf_files_20000_100000/test18.wcnf,1200,587132
test_wcnf_files_20000_100000/test16.wcnf,1200,555548
test_wcnf_files_20000_100000/test11.wcnf,1200,551377
test_wcnf_files_20000_100000/test19.wcnf,1200,553341
test_wcnf_files_20000_100000/test17.wcnf,1200,549761
test_wcnf_files_20000_100000/test12.wcnf,1200,548583
test_wcnf_files_20000_100000/test1.wcnf,1200,546343
test_wcnf_files_20000_100000/test18.wcnf,1200,589219
test_wcnf_files_20000_100000/test13.wcnf,1200,546822
test_wcnf_files_20000_100000/test2.wcnf,1200,549962
test_wcnf_files_20000_100000/test19.wcnf,1200,551846
test_wcnf_files_20000_100000/test14.wcnf,1200,558232
test_wcnf_files_20000_100000/test3.wcnf,1200,1164000
test_wcnf_files_20000_100000/test1.wcnf,1200,545687
test_wcnf_files_20000_100000/test15.wcnf,1200,549942
test_wcnf_files_20000_100000/test4.wcnf,1200,539630
test_wcnf_files_20000_100000/test2.wcnf,1200,553548
test_wcnf_files_20000_100000/test16.wcnf,1200,556171
test_wcnf_files_20000_100000/test5.wcnf,1200,553220
test_wcnf_files_20000_100000/test3.wcnf,1200,1164000
test_wcnf_files_20000_100000/test17.wcnf,1200,555172
test_wcnf_files_20000_100000/test6.wcnf,1200,550079
test_wcnf_files_20000_100000/test4.wcnf,1200,541261
test_wcnf_files_20000_100000/test18.wcnf,1200,587125
test_wcnf_files_20000_100000/test7.wcnf,1200,1172679
test_wcnf_files_20000_100000/test5.wcnf,1200,552450
test_wcnf_files_20000_100000/test19.wcnf,1200,553542
test_wcnf_files_20000_100000/test8.wcnf,1200,1169243
test_wcnf_files_20000_100000/test6.wcnf,1200,548538
test_wcnf_files_20000_100000/test1.wcnf,1200,546953
test_wcnf_files_20000_100000/test9.wcnf,1200,549654
test_wcnf_files_20000_100000/test7.wcnf,1200,1172679
test_wcnf_files_20000_100000/test2.wcnf,1200,553380
test_wcnf_files_20000_100000/test8.wcnf,1200,1169243
test_wcnf_files_20000_100000/test3.wcnf,1200,1164000
test_wcnf_files_20000_100000/test9.wcnf,1200,546769
test_wcnf_files_20000_100000/test4.wcnf,1200,538405
test_wcnf_files_20000_100000/test5.wcnf,1200,552672
test_wcnf_files_20000_100000/test6.wcnf,1200,556118
test_wcnf_files_20000_100000/test7.wcnf,1200,1172679
test_wcnf_files_20000_100000/test8.wcnf,1200,1169243
test_wcnf_files_20000_100000/test9.wcnf,1200,546923
