Filename,Num_Variables,Num_Clauses,Total_Weight,Best_Satisfied_Weight,Best_Violated_Weight,Iterations,Elapsed_Time
test7.wcnf,200000,1000000,50560478,37971152,12589326,29,1232.9
test14.wcnf,200000,1000000,50562474,37958686,12603788,29,1240.08
test16.wcnf,200000,1000000,50519500,38009018,12510482,28,1202.06
test0.wcnf,200000,1000000,50463691,39206139,11257552,29,1242.79
test15.wcnf,200000,1000000,50472712,38021636,12451076,28,1216.97
test9.wcnf,200000,1000000,50516372,37958747,12557625,29,1236.12
test12.wcnf,200000,1000000,50508397,37884188,12624209,29,1223.33
test19.wcnf,200000,1000000,50550001,39037261,11512740,28,1209.56
test10.wcnf,200000,1000000,50489799,38186323,12303476,29,1229.72
test2.wcnf,200000,1000000,50527679,39915034,10612645,28,1223.47
test1.wcnf,200000,1000000,50496044,37923162,12572882,29,1234.91
test6.wcnf,200000,1000000,50483941,38499434,11984507,28,1213.81
test4.wcnf,200000,1000000,50483141,38077199,12405942,29,1233.63
test17.wcnf,200000,1000000,50481524,38042786,12438738,29,1242.25
test8.wcnf,200000,1000000,50531411,38181656,12349755,28,1222
test5.wcnf,200000,1000000,50461127,37838818,12622309,29,1221.71
test13.wcnf,200000,1000000,50513464,38809556,11703908,28,1215.85
test3.wcnf,200000,1000000,50502317,38065043,12437274,29,1231.54
test11.wcnf,200000,1000000,50468879,38435817,12033062,28,1206.61
test18.wcnf,200000,1000000,50506085,37987020,12519065,28,1223.5
